state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
CO,tract,cut,lcut,8,718106,725322,1447,3909,996,60.03,0.71,5.8,no_solution_found,20.5,600.05,9,1,1,299
CO,tract,perim,lcut,8,718106,725322,1447,3909,996,60.03,0.7,27.56,52.673692,22.02422725,600.03,9,1,2,0
CO,tract,invpp,lcut,8,718106,725322,1447,3909,996,60.03,0.71,152.4,1.993191935,0,600.01,9,1,2,0
WI,tract,cut,lcut,8,733032,740398,1542,4253,1078,60.01,0.96,5.19,203,36.5,600.1,9,1,2,0
WI,tract,perim,lcut,8,733032,740398,1542,4253,1078,60.01,0.96,19.99,57.97740553,23.45146508,600.04,9,1,2,0
WI,tract,invpp,lcut,8,733032,740398,1542,4253,1078,60.01,0.99,72.04,2.030549166,0,600.02,9,1,2,0
MO,tract,cut,lcut,8,765518,773210,1654,4488,1031,60.01,1.32,6.09,213,17,607.54,9,1,2,0
MO,tract,perim,lcut,8,765518,773210,1654,4488,1031,60.01,1.23,11.94,59.32255268,24.91744555,600.02,9,1,2,0
MO,tract,invpp,lcut,8,765518,773210,1654,4488,1031,60.03,1.28,89.57,2.217331546,0,600.02,9,1,2,0
MD,tract,cut,lcut,8,768293,776013,1475,3993,910,60.01,1.04,4.53,226,24.5,600.32,9,1,2,0
MD,tract,perim,lcut,8,768293,776013,1475,3993,910,60.01,1.03,29.14,27.97502981,15.04702419,600.02,9,1,2,0
MD,tract,invpp,lcut,8,768293,776013,1475,3993,910,60.01,1.05,134.45,2.892109548,0,600.04,9,1,2,0
IN,tract,cut,lcut,9,750178,757717,1696,4627,1062,60.01,1.73,21.04,225,0,600.03,9,1,2,0
IN,tract,perim,lcut,9,750178,757717,1696,4627,1062,60.01,1.71,22.86,47.7128493,17.166142,600.03,9,1,2,0
IN,tract,invpp,lcut,9,750178,757717,1696,4627,1062,60.01,1.72,141.67,2.186803933,0,600.02,9,1,2,0
TN,tract,cut,lcut,9,764032,771710,1701,4691,984,60.01,1.14,33.71,no_solution_found,0,600.03,9,1,0,0
TN,tract,perim,lcut,9,764032,771710,1701,4691,984,60.02,1.1,43.09,51.65840755,22.68105062,600.03,9,1,2,0
TN,tract,invpp,lcut,9,764032,771710,1701,4691,984,60.01,1.12,118.06,no_solution_found,0,600.06,9,1,0,0
MA,tract,cut,lcut,9,777197,785007,1620,4577,894,60.02,0.98,11.03,no_solution_found,0,600.05,9,1,0,0
MA,tract,perim,lcut,9,777197,785007,1620,4577,894,60.02,1,36.68,no_solution_found,12.00055376,600.03,9,1,0,0
MA,tract,invpp,lcut,9,777197,785007,1620,4577,894,60.02,0.99,230.63,no_solution_found,2.51E-05,600.01,9,1,0,0
AZ,tract,cut,lcut,9,790639,798584,1765,4593,1057,60.02,1.49,10.12,no_solution_found,0,600.02,9,1,0,0
AZ,tract,perim,lcut,9,790639,798584,1765,4593,1057,60.02,1.1,392.62,no_solution_found,23.91536082,600.02,9,1,0,0
AZ,tract,invpp,lcut,9,790639,798584,1765,4593,1057,60.02,1.11,1169.51,no_solution_found,0,600.01,9,1,0,0
WA,tract,cut,lcut,10,766676,774380,1784,4986,1060,60.01,1.39,26.14,271,0,600.04,9,1,2,0
