state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
TN,tract,perim,lcut,9,764032,771710,1701,4691,984,60.01,1.12,50.09108158,139.22,50.09108158,22.68105062,600.05,9,1,2,0
TN,tract,invpp,lcut,9,764032,771710,1701,4691,984,60.01,1.57,2.364294058,751.23,2.364294058,0,600.02,9,1,2,0
MA,tract,cut,lcut,9,777197,785007,1620,4577,894,60.02,0.99,241,286.02,241,0,600.04,9,1,2,0
MA,tract,perim,lcut,9,777197,785007,1620,4577,894,60.02,1.02,25.03776412,445.99,25.03776412,12.00055376,600.06,9,1,2,0
MA,tract,invpp,lcut,9,777197,785007,1620,4577,894,60.02,0.99,2.42084982,437.79,2.42084982,2.51E-05,600.02,9,1,2,0
AZ,tract,cut,lcut,9,790639,798584,1765,4593,1057,60.02,1.24,270,311.43,270,0,600.19,9,1,2,0
AZ,tract,perim,lcut,9,790639,798584,1765,4593,1057,60.02,1.14,61.38108813,1210.61,61.38108813,23.91536082,600.05,9,1,2,0
AZ,tract,invpp,lcut,9,790639,798584,1765,4593,1057,60.06,1.12,2.026048604,844.58,2.026048604,0,600.03,9,1,2,0
WA,tract,cut,lcut,10,766676,774380,1784,4986,1060,60.01,1.47,252,346.22,252,0,600.07,9,1,2,0
WA,tract,perim,lcut,10,766676,774380,1784,4986,1060,60.01,1.45,71.07714649,347.51,71.07714649,23.05487644,600.06,9,1,2,0
WA,tract,invpp,lcut,10,766676,774380,1784,4986,1060,60.01,1.41,2.721763484,812.54,2.721763484,0,600.04,9,1,2,0
VA,tract,cut,lcut,11,780749,788595,2198,6064,1247,60.02,1.44,281,347.67,281,0,600.37,9,1,2,0
VA,tract,perim,lcut,11,780749,788595,2198,6064,1247,60.02,1.39,55.73580546,661.46,55.73580546,24.61953307,600.09,9,1,2,0
VA,tract,invpp,lcut,11,780749,788595,2198,6064,1247,60.01,1.42,2.872156648,590.14,2.872156648,0,600.03,9,1,2,0
NJ,tract,cut,lcut,12,770213,777953,2181,6061,1235,60.02,1.74,313,329.54,313,0,606.08,9,1,2,0
NJ,tract,perim,lcut,12,770213,777953,2181,6061,1235,60.08,1.78,23.28086805,700.41,23.28086805,8.541392228,604.18,9,1,2,0
NJ,tract,invpp,lcut,12,770213,777953,2181,6061,1235,60.02,1.76,2.276689465,444,2.276689465,0,600.04,9,1,2,0
MI,tract,cut,lcut,13,771304,779055,3017,7989,1760,60.03,3.11,362,377.96,362,0,602.67,9,1,2,0
MI,tract,perim,lcut,13,771304,779055,3017,7989,1760,60.02,3.05,70.36281951,410.33,70.36281951,29.10873898,604.11,9,1,2,0
MI,tract,invpp,lcut,13,771304,779055,3017,7989,1760,60.02,3.16,1.853758064,667.49,1.853758064,0,600.06,9,1,2,0
NC,tract,cut,lcut,14,741943,749398,2672,7422,1409,60.04,2.24,374,346.08,374,0,600.96,9,1,2,0
NC,tract,perim,lcut,14,741943,749398,2672,7422,1409,60.04,2.24,64.36622631,809.97,64.36622631,22.66793883,600.98,9,1,2,0
NC,tract,invpp,lcut,14,741943,749398,2672,7422,1409,60.04,2.25,2.314967362,546.03,2.314967362,0,600.05,9,1,2,0
GA,tract,cut,lcut,14,761311,768961,2796,7762,1526,60.04,2.47,424,546.99,424,0,618.62,9,1,2,0
GA,tract,perim,lcut,14,761311,768961,2796,7762,1526,60.03,2.46,67.71100691,604.11,67.71100691,21.00844604,613.98,9,1,2,0
GA,tract,invpp,lcut,14,761311,768961,2796,7762,1526,60.03,2.45,2.448223538,726.21,2.448223538,4.06E-06,600.04,9,1,2,0
OH,tract,cut,lcut,15,782697,790563,3168,8747,1764,60.04,3.66,443,326.87,443,0,600.95,9,1,2,0
OH,tract,perim,lcut,15,782697,790563,3168,8747,1764,60.04,3.62,59.78081366,572.03,59.78081366,16.51878092,603.31,9,1,2,0
OH,tract,invpp,lcut,15,782697,790563,3168,8747,1764,60.03,3.58,1.837096862,667.41,1.837096862,0,600.07,9,1,2,0
IL,tract,cut,lcut,17,749909,757445,3265,8728,1724,60.04,9.18,508,320.45,508,0,615.39,9,1,2,0
IL,tract,perim,lcut,17,749909,757445,3265,8728,1724,60.04,9.19,64.88649916,1045.7,64.88649916,22.49750394,614.89,9,1,2,0
IL,tract,invpp,lcut,17,749909,757445,3265,8728,1724,60.04,9.14,2.2752912,427.55,2.2752912,0,600.07,9,1,2,0
PA,tract,cut,lcut,17,761041,768689,3446,9641,1725,60.04,3.89,490,475.34,490,0,623.52,9,1,2,0
PA,tract,perim,lcut,17,761041,768689,3446,9641,1725,60.05,3.84,62.81833699,787.41,62.81833699,17.84574383,645.17,9,1,2,0
PA,tract,invpp,lcut,17,761041,768689,3446,9641,1725,60.04,3.77,2.198456472,550.4,2.198456472,0,600.07,9,1,2,0
TX,tract,cut,lcut,38,763153,770821,6896,18554,2905,60.27,70.6,1229,500.06,1229,0,618,9,1,2,0
TX,tract,perim,lcut,38,763153,770821,6896,18554,2905,60.31,72.68,202.9262142,561.98,202.9262142,56.71524556,615.88,9,1,2,0
TX,tract,invpp,lcut,38,763153,770821,6896,18554,2905,60.23,73.25,4.017168188,218.02,4.017168188,0,615.61,9,1,2,0
